chem_id,chem_name,induces_n,inhibits_n,induces_genes,inhibits_genes,badge
MESH:D002185,Cannabidiol,0,6,"",CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A5,Check DDI: ↓
MESH:C088453,Celsior,2,6,CYP1A2|CYP3A4,CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A5,Check DDI: mixed
MESH:D020111,Chlorodiphenyl (54% Chlorine),6,0,CYP1A2|CYP2C19|CYP3A4|CYP3A5|UGT1A1|UGT2B7,"",Check DDI: ↑
MESH:D003520,Cyclophosphamide,6,2,ABCB1|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A5,CYP2C19|CYP2C9,Check DDI: mixed
MESH:C093628,cyproconazole,3,6,CYP1A2|CYP2C19|CYP3A4,ABCB1|CYP2C19|CYP2C9|CYP2D6|CYP3A4|UGT2B7,Check DDI: mixed
MESH:C561627,dabrafenib,1,6,CYP3A4,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP3A4|CYP3A5,Check DDI: mixed
MESH:D003671,DEET,6,1,CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A5,CYP2C19,Check DDI: mixed
MESH:C047386,desethylamodiaquine,6,3,CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A5,CYP1A2|CYP2C19|CYP2C9,Check DDI: mixed
MESH:D003907,Dexamethasone,6,4,ABCB1|CYP1A2|CYP2C9|CYP3A4|CYP3A5|UGT1A1,ABCB1|CYP1A2|CYP3A4|CYP3A5,Check DDI: mixed
MESH:D019833,Genistein,4,6,ABCB1|CYP1A2|CYP3A4|UGT1A1,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP3A4|UGT1A1,Check DDI: mixed
MESH:C048393,germacrone,2,6,ABCB1|CYP3A4,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4,Check DDI: mixed
MESH:C058309,hypaconitine,6,1,ABCB1|CYP1A2|CYP2C19|CYP2D6|CYP3A4|CYP3A5,ABCB1,Check DDI: mixed
MESH:C005273,naringenin,3,6,ABCB1|CYP3A4|UGT1A1,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP3A4|SLCO1B1,Check DDI: mixed
MESH:C051752,nefazodone,1,6,CYP3A4,CYP1A2|CYP2C19|CYP2C9|CYP3A4|CYP3A5|SLCO1B1,Check DDI: mixed
MESH:D009529,Nicardipine,2,6,CYP1A2|CYP3A4,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4,Check DDI: mixed
MESH:C012655,nimesulide,6,1,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4,ABCB1,Check DDI: mixed
MESH:C574385,"N,N-didesmethyl-4-hydroxytamoxifen",6,2,CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A5,CYP2C19|CYP2C9,Check DDI: mixed
MESH:C058272,norclozapine,6,2,CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A5,CYP1A2|CYP3A4,Check DDI: mixed
MESH:C464660,obeticholic acid,2,6,CYP2D6|UGT1A1,CYP1A2|CYP2C9|CYP3A4|CYP3A5|SLCO1B1|UGT2B7,Check DDI: mixed
MESH:D009853,Omeprazole,6,4,ABCB1|CYP1A2|CYP2C19|CYP3A4|CYP3A5|UGT1A1,CYP1A2|CYP2C19|CYP2C9|CYP3A4,Check DDI: mixed
MESH:D010100,Oxygen,5,6,ABCB1|CYP1A2|CYP2D6|CYP3A4|UGT1A1,ABCB1|CYP1A2|CYP2C9|CYP2D6|CYP3A4|UGT1A1,Check DDI: mixed
MESH:D010672,Phenytoin,6,4,ABCB1|CYP2C19|CYP2C9|CYP3A4|CYP3A5|UGT1A1,ABCB1|CYP2C19|CYP2C9|CYP3A4,Check DDI: mixed
MESH:D011374,Progesterone,6,2,ABCB1|CYP2C19|CYP2C9|CYP3A4|CYP3A5|UGT1A1,ABCB1|CYP2C9,Check DDI: mixed
MESH:D000077185,Resveratrol,5,6,ABCB1|CYP1A2|CYP3A4|UGT1A1|UGT2B7,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4,Check DDI: mixed
MESH:C016101,shikonin,0,6,"",CYP1A2|CYP2C9|CYP2D6|CYP3A4|UGT1A1|UGT2B7,Check DDI: ↓
MESH:D012822,Silicon Dioxide,2,6,CYP1A2|CYP3A5,CYP1A2|CYP2C9|CYP3A4|CYP3A5|SLCO1B1|UGT2B7,Check DDI: mixed
MESH:D014212,Tretinoin,4,6,ABCB1|CYP1A2|CYP2C9|CYP3A4,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4,Check DDI: mixed
MESH:C585955,1-(3-(4-phenoxyphenoxy)-2-oxopropyl)indole-5-carboxylic acid,5,5,CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4,CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4,Check DDI: mixed
MESH:C517215,13-hydroxyellipticine,5,1,CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4,CYP3A4,Check DDI: mixed
MESH:C000626967,1-(4-ethylphenyl-)-N-((2-methoxyphenyl)methyl) propane-2-amine,5,2,CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4,CYP1A2|CYP3A4,Check DDI: mixed
MESH:C033020,1-aminobenzotriazole,1,5,CYP3A5,CYP1A2|CYP2C9|CYP2D6|CYP3A4|CYP3A5,Check DDI: mixed
MESH:C024336,1-phenylazo-2-naphthol,5,2,CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4,CYP2C19|CYP2D6,Check DDI: mixed
MESH:C049584,"2-amino-1-methyl-6-phenylimidazo(4,5-b)pyridine",5,2,CYP1A2|CYP2C19|CYP2D6|CYP3A4|UGT1A1,CYP1A2|UGT1A1,Check DDI: mixed
