gene_symbol,chem_id,chem_name,action_norm,action_family
ABCA8,MESH:D016604,Aflatoxin B1,affects^expression,other
ABCB1,MESH:C005445,triphenyl phosphate,affects^expression,other
ABCB1,MESH:C006780,bisphenol A,affects^expression,other
ABCB1,MESH:C012589,trichostatin A,affects^expression|affects^methylation,modifies
ABCB1,MESH:C012589,trichostatin A,affects^cotreatment|affects^expression|affects^methylation,modifies
ABCB1,MESH:C012596,turmeric extract,affects^response to substance,other
ABCB1,MESH:C017947,sodium arsenite,affects^expression,other
ABCB1,MESH:C025483,estradiol-17 beta-glucuronide,affects^response to substance,other
ABCB1,MESH:C045037,testosterone-3-carboxymethyloxime-bovine serum albumin conjugate,affects^expression,other
ABCB1,MESH:C052659,gambogic acid,affects^reaction|affects^response to substance,other
ABCB1,MESH:C052659,gambogic acid,affects^cleavage|affects^reaction|affects^response to substance,modifies
ABCB1,MESH:C072553,benzyloxycarbonylleucyl-leucyl-leucine aldehyde,affects^expression|decreases^reaction,inhibits
ABCB1,MESH:C093230,fexofenadine,affects^response to substance,other
ABCB1,MESH:C093230,fexofenadine,affects^response to substance|increases^reaction,activates
ABCB1,MESH:C106263,rostafuroxin,affects^cotreatment|affects^response to substance,other
ABCB1,MESH:C402769,tipifarnib,affects^response to substance,other
ABCB1,MESH:C482205,nutlin 3,affects^response to substance,other
ABCB1,MESH:C492847,"1-(4-chlorophenyl)-3-(3-(4-chlorophenyl)-5,5-dimethyl-1-(3-(5-nitrofuran-2-yl)allyldienehydrazinocarbonylmethyl)-2-oxoimidazolidin-4-yl)-1-hydroxyurea",affects^expression|decreases^reaction,inhibits
ABCB1,MESH:C498826,nilotinib,affects^response to substance,other
ABCB1,MESH:C510718,cambinol,affects^expression,other
ABCB1,MESH:C543008,bisphenol S,affects^expression|affects^reaction,other
ABCB1,MESH:C543008,bisphenol S,affects^expression,other
ABCB1,MESH:C550547,"6-chloro-2,3,4,9-tetrahydro-1H-carbazole-1-carboxamide",affects^expression,other
ABCB1,MESH:D000068338,Everolimus,affects^response to substance,other
ABCB1,MESH:D000068877,Imatinib Mesylate,affects^response to substance,other
ABCB1,MESH:D000069059,Atorvastatin,affects^reaction|affects^response to substance,other
ABCB1,MESH:D000069286,Bortezomib,affects^expression|decreases^reaction,inhibits
ABCB1,MESH:D000074,Acenocoumarol,affects^response to substance,other
ABCB1,MESH:D000077143,Docetaxel,affects^response to substance,other
ABCB1,MESH:D000077144,Clopidogrel,affects^reaction|affects^response to substance,other
ABCB1,MESH:D000077144,Clopidogrel,affects^response to substance,other
ABCB1,MESH:D000077146,Irinotecan,affects^response to substance,other
