gene_symbol,action_family,n_full,n_strict,pruned
ACCS,inhibits,16,16,0
ACCS,modifies,1,1,0
ACCS,other,3,,3
ACCSL,activates,2,2,0
ACCSL,inhibits,2,2,0
ACCSL,modifies,1,1,0
ACCSL,other,2,,2
ACD,activates,14,14,0
ACD,inhibits,16,16,0
ACD,other,4,,4
ACE,activates,28,28,0
ACE,inhibits,60,60,0
ACE,modifies,2,2,0
ACE,other,10,,10
ACE2,activates,38,38,0
ACE2,binds,4,4,0
ACE2,inhibits,80,80,0
ACE2,modifies,2,2,0
ACE2,other,4,,4
ACE2-DT,inhibits,1,1,0
ACER1,activates,1,1,0
ACER1,inhibits,8,8,0
ACER1,modifies,2,2,0
ACER2,activates,19,19,0
ACER2,inhibits,8,8,0
ACER2,other,2,,2
ACER3,activates,23,23,0
ACER3,inhibits,11,11,0
ACER3,other,3,,3
ACHE,activates,100,97,3
ACHE,binds,19,19,0
ACHE,inhibits,528,528,0
ACHE,modifies,7,7,0
ACHE,other,3,,3
ACIN1,activates,21,21,0
ACIN1,binds,1,1,0
ACIN1,inhibits,30,30,0
ACIN1,modifies,4,4,0
ACIN1,other,5,,5
ACKR1,activates,18,18,0
ACKR1,inhibits,22,22,0
ACKR2,activates,23,23,0
ACKR2,inhibits,19,19,0
ACKR2,modifies,3,3,0
ACKR3,activates,42,42,0
ACKR3,inhibits,68,68,0
ACKR3,modifies,1,1,0
ACKR3,other,16,,16
ACKR4,activates,6,6,0
ACKR4,inhibits,4,4,0
ACKR4,other,1,,1
ACKR5,activates,4,4,0
ACKR5,inhibits,9,9,0
ACKR5,modifies,1,1,0
ACLY,activates,52,52,0
ACLY,binds,1,1,0
ACLY,inhibits,68,68,0
ACLY,modifies,3,3,0
ACLY,other,9,,9
ACMSD,activates,1,1,0
ACMSD,inhibits,18,18,0
ACMSD,other,1,,1
ACNATP,inhibits,3,3,0
ACO1,activates,55,53,2
ACO1,inhibits,35,35,0
ACO1,other,8,,8
ACO2,activates,32,32,0
ACO2,binds,1,1,0
ACO2,inhibits,38,38,0
ACO2,other,4,,4
ACOD1,activates,6,6,0
ACOD1,inhibits,2,2,0
ACOT1,activates,22,22,0
ACOT1,inhibits,25,25,0
ACOT1,other,2,,2
ACOT11,activates,19,19,0
ACOT11,inhibits,19,19,0
ACOT11,modifies,3,3,0
ACOT11,other,3,,3
ACOT12,activates,14,14,0
ACOT12,inhibits,21,21,0
ACOT12,other,1,,1
ACOT13,activates,15,15,0
ACOT13,inhibits,25,25,0
ACOT13,modifies,1,1,0
ACOT13,other,12,,12
ACOT2,activates,31,31,0
ACOT2,inhibits,22,22,0
ACOT2,modifies,1,1,0
ACOT2,other,3,,3
ACOT4,activates,18,18,0
ACOT4,inhibits,14,14,0
ACOT4,modifies,1,1,0
ACOT4,other,2,,2
ACOT6,activates,7,7,0
ACOT6,inhibits,12,12,0
ACOT6,modifies,1,1,0
ACOT6,other,1,,1
ACOT7,activates,42,42,0
ACOT7,inhibits,32,32,0
ACOT7,modifies,1,1,0
ACOT7,other,5,,5
ACOT8,activates,10,8,2
ACOT8,inhibits,13,13,0
ACOT8,other,1,,1
ACOT9,activates,32,32,0
ACOT9,inhibits,14,14,0
ACOT9,modifies,1,1,0
ACOT9,other,3,,3
ACOX1,activates,70,70,0
ACOX1,binds,1,1,0
ACOX1,inhibits,60,60,0
ACOX1,other,8,,8
ACOX2,activates,23,23,0
ACOX2,inhibits,39,39,0
ACOX2,modifies,1,1,0
ACOX2,other,4,,4
ACOX3,activates,16,16,0
ACOX3,inhibits,14,14,0
ACOX3,modifies,2,2,0
ACOX3,other,2,,2
ACOXL,activates,10,10,0
ACOXL,inhibits,9,9,0
ACOXL,modifies,2,2,0
ACOXL-AS1,inhibits,3,3,0
ACP1,activates,32,30,2
ACP1,binds,1,1,0
ACP1,inhibits,29,29,0
ACP1,modifies,1,1,0
ACP1,other,4,,4
ACP2,activates,14,14,0
ACP2,inhibits,20,20,0
ACP2,modifies,1,1,0
ACP2,other,14,,14
ACP3,activates,27,27,0
ACP3,inhibits,31,31,0
ACP3,modifies,1,1,0
ACP3,other,8,,8
ACP4,activates,3,3,0
ACP4,inhibits,8,8,0
ACP5,activates,17,17,0
ACP5,inhibits,28,28,0
ACP5,modifies,1,1,0
ACP5,other,6,,6
ACP6,activates,14,12,2
ACP6,inhibits,12,12,0
ACP6,modifies,1,1,0
ACP6,other,1,,1
ACP7,activates,5,5,0
ACP7,inhibits,12,12,0
ACR,activates,3,3,0
ACR,inhibits,5,5,0
ACR,modifies,1,1,0
ACRBP,activates,8,8,0
ACRBP,inhibits,10,10,0
ACRBP,modifies,2,2,0
ACRBP,other,3,,3
ACRP1,activates,1,1,0
ACRV1,activates,5,5,0
ACRV1,inhibits,6,6,0
ACSBG1,activates,8,8,0
ACSBG1,binds,1,1,0
ACSBG1,inhibits,9,9,0
ACSBG1,modifies,1,1,0
ACSBG1,other,3,,3
ACSBG2,activates,5,5,0
ACSBG2,inhibits,10,10,0
ACSBG2,modifies,1,1,0
ACSF2,activates,33,31,2
ACSF2,inhibits,42,42,0
ACSF2,modifies,1,1,0
ACSF2,other,7,,7
ACSF3,activates,12,12,0
ACSF3,inhibits,9,9,0
ACSF3,modifies,2,2,0
ACSF3,other,1,,1
ACSL1,activates,89,87,2
ACSL1,binds,1,1,0
ACSL1,inhibits,82,82,0
ACSL1,modifies,1,1,0
ACSL1,other,12,,12
ACSL3,activates,42,42,0
ACSL3,inhibits,56,56,0
ACSL3,other,16,,16
ACSL4,activates,72,72,0
ACSL4,binds,2,2,0
ACSL4,inhibits,82,82,0
ACSL4,modifies,2,2,0
ACSL4,other,6,,6
ACSL5,activates,44,44,0
ACSL5,inhibits,27,27,0
ACSL5,modifies,3,1,2
ACSL5,other,6,,6
ACSL6,activates,15,15,0
ACSL6,inhibits,9,9,0
ACSL6,modifies,1,1,0
ACSL6,other,3,,3
ACSM1,activates,5,5,0
ACSM1,inhibits,8,8,0
ACSM1,other,1,,1
ACSM2,activates,1,1,0
ACSM2A,activates,1,1,0
ACSM2A,inhibits,23,23,0
ACSM2A,other,3,,3
ACSM2B,activates,1,1,0
ACSM2B,inhibits,16,16,0
ACSM2B,other,3,,3
ACSM3,activates,24,24,0
ACSM3,inhibits,45,45,0
ACSM3,modifies,2,2,0
ACSM3,other,4,,4
ACSM4,inhibits,2,2,0
ACSM4,modifies,1,1,0
ACSM5,activates,3,3,0
ACSM5,inhibits,16,16,0
ACSM5,modifies,1,1,0
ACSM5,other,3,,3
ACSM6,activates,1,1,0
ACSM6,inhibits,4,4,0
ACSS1,activates,24,22,2
ACSS1,inhibits,28,28,0
ACSS1,modifies,2,2,0
ACSS1,other,2,,2
ACSS2,activates,45,43,2
ACSS2,inhibits,55,55,0
ACSS2,modifies,1,1,0
ACSS2,other,7,,7
ACSS3,activates,17,17,0
ACSS3,inhibits,21,21,0
ACSS3,modifies,1,1,0
ACSS3,other,2,,2
ACTA1,activates,40,40,0
ACTA1,inhibits,32,32,0
ACTA1,modifies,1,1,0
ACTA1,other,5,,5
ACTA2,activates,196,196,0
ACTA2,binds,2,2,0
ACTA2,inhibits,333,332,1
ACTA2,modifies,3,3,0
ACTA2,other,13,,13
ACTA2-AS1,activates,1,1,0
ACTA2-AS1,inhibits,2,2,0
ACTB,activates,99,99,0
ACTB,binds,5,5,0
ACTB,inhibits,79,79,0
ACTB,modifies,4,4,0
ACTB,other,17,,17
ACTBL2,activates,23,20,3
ACTBL2,inhibits,24,24,0
ACTBL2,other,2,,2
ACTBP11,activates,1,1,0
ACTBP14,activates,1,1,0
ACTBP2,activates,2,2,0
ACTBP2,inhibits,1,1,0
ACTBP8,activates,2,2,0
ACTBP8,inhibits,1,1,0
ACTC1,activates,20,20,0
ACTC1,inhibits,35,35,0
ACTC1,other,7,,7
ACTG1,activates,26,26,0
ACTG1,binds,2,2,0
ACTG1,inhibits,45,45,0
ACTG1,other,5,,5
ACTG1P1,inhibits,2,2,0
ACTG1P17,activates,2,,2
